sample-id	name	sample-identifier	Treatment	Sex	RNA or DNA	Volume (ul)	Conc (ng/ul)	Organism	Sample Description	Plate 	Well	Floor
5023-OC-01	5023-OC-1_S131_kneaddata_cat.fastq_profile	Experiment 47 F1	Saline 	F	DNA	20	45.4	Mouse	Stool	96 well	A1	infectious
5023-OC-02	5023-OC-2_S132_kneaddata_cat.fastq_profile	Experiment 47 F2	Saline 	F	DNA	20	38.3	Mouse	Stool	96 well	A2	infectious
5023-OC-03	5023-OC-3_S133_kneaddata_cat.fastq_profile	Experiment 47 F3	Saline 	F	DNA	20	25.7	Mouse	Stool	96 well	A3	infectious
5023-OC-04	5023-OC-4_S134_kneaddata_cat.fastq_profile	Experiment 47 F4	Saline 	F	DNA	20	28.7	Mouse	Stool	96 well	A4	infectious
5023-OC-05	5023-OC-5_S135_kneaddata_cat.fastq_profile	Experiment 47 F5	Saline 	F	DNA	20	20	Mouse	Stool	96 well	A5	infectious
5023-OC-06	5023-OC-6_S136_kneaddata_cat.fastq_profile	Experiment 48 F2	Saline 	F	DNA	20	27.6	Mouse	Stool	96 well	A6	infectious
5023-OC-07	5023-OC-7_S137_kneaddata_cat.fastq_profile	Experiment 47 M1	Saline 	M	DNA	20	21.2	Mouse	Stool	96 well	A7	infectious
5023-OC-08	5023-OC-8_S138_kneaddata_cat.fastq_profile	Experiment 47 M2	Saline 	M	DNA	20	40.8	Mouse	Stool	96 well	A8	infectious
5023-OC-09	5023-OC-9_S139_kneaddata_cat.fastq_profile	Experiment 47 M3	Saline 	M	DNA	20	23.4	Mouse	Stool	96 well	A9	infectious
5023-OC-10	5023-OC-10_S140_kneaddata_cat.fastq_profile	Experiment 47 M4	Saline 	M	DNA	20	37.1	Mouse	Stool	96 well	A10	infectious
5023-OC-11	5023-OC-11_S141_kneaddata_cat.fastq_profile	Experiment 47 M5	Saline 	M	DNA	20	18.7	Mouse	Stool	96 well	A11	infectious
5023-OC-12	5023-OC-12_S142_kneaddata_cat.fastq_profile	Experiment 48 M1	Saline 	M	DNA	20	95.1	Mouse	Stool	96 well	A12	infectious
5023-OC-13	5023-OC-13_S143_kneaddata_cat.fastq_profile	Experiment 48 M2	Saline 	M	DNA	20	45.9	Mouse	Stool	96 well	B1	infectious
